claude-code-setup@claude-plugins-official	1.0.0	user	true
claude-md-management@claude-plugins-official	1.0.0	user	true
claude-security@claude-plugins-official	0.11.0	user	false
cloudflare@claude-plugins-official	1.0.0	user	true
code-review@claude-plugins-official	ad30d62cd52a	user	true
code-simplifier@claude-plugins-official	1.0.0	user	true
coderabbit@claude-plugins-official	1.1.1	user	true
commit-commands@claude-plugins-official	ad30d62cd52a	user	true
context7@claude-plugins-official	ad30d62cd52a	user	true
feature-dev@claude-plugins-official	ad30d62cd52a	user	true
firecrawl@claude-plugins-official	1.0.9	user	true
github@claude-plugins-official	ad30d62cd52a	user	true
gopls-lsp@claude-plugins-official	1.0.0	user	true
hookify@claude-plugins-official	ad30d62cd52a	user	true
linear@claude-plugins-official	ad30d62cd52a	user	true
modern-go-guidelines@goland-claude-marketplace	1.1.1	user	true
modern-web-guidance@claude-plugins-official	0.0.190	user	false
nowledge-mem@nowledge-community	0.7.24	user	true
pr-review-toolkit@claude-plugins-official	ad30d62cd52a	user	true
pydantic@pydantic-skills	0.1.0	user	true
pyright-lsp@claude-plugins-official	1.0.0	user	true
ralph-loop@claude-plugins-official	1.0.0	user	true
redis-development@claude-plugins-official	1.4.0	user	false
remember@claude-plugins-official	0.33.0	user	true
rust-analyzer-lsp@claude-plugins-official	1.0.0	user	true
security-guidance@claude-plugins-official	2.0.8	user	true
session-report@claude-plugins-official	ad30d62cd52a	user	true
skill-creator@claude-plugins-official	ad30d62cd52a	user	true
superpowers@claude-plugins-official	6.4.1	user	true
telegram@claude-plugins-official	0.0.7	user	true
typescript-lsp@claude-plugins-official	1.0.0	user	true
